stage,variant,family,groups,geometry_features,feature_count,c,gamma,gamma_multiplier,train_samples,validation_samples,accuracy,macro_f1,weighted_f1,training_seconds,prediction_seconds,support_vectors
coarse,add_brow,add_one,brow,8,144,10.0,0.013888888888888888,2.0,10000,5742,0.42737722048066873,0.4099723604646107,0.42713921438855745,19.02832959999796,11.215430399985053,9265
coarse,add_eyes,add_one,eyes,10,146,10.0,0.0136986301369863,2.0,10000,5742,0.42459073493556254,0.40746697550829103,0.4246009436192258,22.396011099976022,11.940704300010111,9249
coarse,add_global,add_one,global,4,140,10.0,0.014285714285714285,2.0,10000,5742,0.427725531173807,0.41028178990784886,0.4274512488243504,21.40280859998893,13.952594799979124,9252
coarse,add_mouth,add_one,mouth,13,149,10.0,0.013422818791946308,2.0,10000,5742,0.4284221525600836,0.40602432983132264,0.42732870593258965,23.21575530001428,14.613523400039412,9265
coarse,add_nose,add_one,nose,3,139,10.0,0.014388489208633094,2.0,10000,5742,0.42371995820271685,0.4046326380254414,0.42314691704954827,21.863091600011103,11.862018499989063,9256
coarse,all_geometry,full,brow;eyes;nose;mouth;global,38,174,10.0,0.011494252873563218,2.0,10000,5742,0.4339951236502961,0.41205297939816404,0.4332502867776337,27.45630840002559,15.225462399946991,9289
coarse,coordinates_only,baseline,none,0,136,10.0,0.014705882352941176,2.0,10000,5742,0.4219784047370254,0.40454650207651427,0.42216647674562574,18.45311409997521,11.25369809998665,9236
coarse,drop_brow,drop_one,eyes;nose;mouth;global,30,166,10.0,0.012048192771084338,2.0,10000,5742,0.42998955067920586,0.4061995022019804,0.42909205934960687,26.840472299954854,14.258135000010952,9266
coarse,drop_eyes,drop_one,brow;nose;mouth;global,28,164,10.0,0.012195121951219513,2.0,10000,5742,0.4334726576105886,0.4111685031541003,0.4323912890701582,26.558493899996392,17.122681299981195,9285
coarse,drop_global,drop_one,brow;eyes;nose;mouth,34,170,10.0,0.011764705882352941,2.0,10000,5742,0.43486590038314177,0.4122008593470362,0.4338712540091628,30.094777299964335,14.295151600032113,9297
coarse,drop_mouth,drop_one,brow;eyes;nose;global,25,161,10.0,0.012422360248447204,2.0,10000,5742,0.4278996865203762,0.4072214009597843,0.42715280422601837,29.750770000042394,15.201640700048301,9295
coarse,drop_nose,drop_one,brow;eyes;mouth;global,35,171,10.0,0.011695906432748537,2.0,10000,5742,0.43225357018460464,0.4101237897059266,0.43139201100212893,28.637135300028604,18.182826400035992,9292
full_validation,all_geometry,full,brow;eyes;nose;mouth;global,38,174,10.0,0.011494252873563218,2.0,22967,5742,0.4622082897944967,0.44584156915914835,0.4615765491081964,244.55141569999978,46.54167030000826,20792
full_validation,drop_eyes,drop_one,brow;nose;mouth;global,28,164,10.0,0.012195121951219513,2.0,22967,5742,0.466388018112156,0.4511829650409843,0.4659105993306912,157.4486246999586,27.789283599995542,20741
full_validation,drop_global,drop_one,brow;eyes;nose;mouth,34,170,10.0,0.011764705882352941,2.0,22967,5742,0.46360153256704983,0.4458020796264348,0.4630123774481178,232.68055310001364,45.502577999955975,20768
