index,true,predicted,predicted_probability,occlusion_mode
2,angry,neutral,0.518076479434967,clean
3,angry,fear,0.745724081993103,clean
4,angry,neutral,0.5304269194602966,clean
10,angry,sad,0.7829471826553345,clean
11,angry,neutral,0.5794739723205566,clean
14,angry,surprise,0.4181475043296814,clean
20,angry,sad,0.3155781626701355,clean
21,angry,disgust,0.925336480140686,clean
23,angry,neutral,0.5686677694320679,clean
24,angry,sad,0.5527292490005493,clean
26,angry,sad,0.3368670344352722,clean
28,angry,sad,0.5131744742393494,clean
37,angry,fear,0.7158857583999634,clean
38,angry,fear,0.9123572111129761,clean
40,angry,sad,0.7246806621551514,clean
41,angry,happy,0.7890074253082275,clean
43,angry,fear,0.9522970914840698,clean
44,angry,surprise,0.46191829442977905,clean
47,angry,happy,0.5115463733673096,clean
49,angry,sad,0.48189404606819153,clean
51,angry,sad,0.8981603384017944,clean
53,angry,surprise,0.8991508483886719,clean
57,angry,fear,0.9493806958198547,clean
60,angry,sad,0.517132043838501,clean
64,angry,sad,0.889777421951294,clean
69,angry,sad,0.5054622888565063,clean
71,angry,sad,0.5917818546295166,clean
75,angry,neutral,0.48789113759994507,clean
76,angry,fear,0.3532041907310486,clean
85,angry,sad,0.34820497035980225,clean
86,angry,sad,0.7146151661872864,clean
90,angry,happy,0.809638261795044,clean
91,angry,fear,0.5485113263130188,clean
92,angry,neutral,0.592548131942749,clean
97,angry,sad,0.5910497903823853,clean
105,angry,neutral,0.4370592534542084,clean
109,angry,fear,0.6670663356781006,clean
110,angry,neutral,0.3489845395088196,clean
111,angry,happy,0.8562988042831421,clean
112,angry,sad,0.7304251194000244,clean
117,angry,sad,0.47784140706062317,clean
119,angry,neutral,0.6765420436859131,clean
120,angry,disgust,0.749411940574646,clean
121,angry,sad,0.5177741050720215,clean
124,angry,sad,0.5205050110816956,clean
127,angry,neutral,0.43807753920555115,clean
132,angry,fear,0.6261380910873413,clean
146,angry,happy,0.8157362341880798,clean
148,angry,surprise,0.7368073463439941,clean
152,angry,sad,0.5985361933708191,clean
155,angry,neutral,0.519506573677063,clean
156,angry,fear,0.4661542773246765,clean
157,angry,neutral,0.46201443672180176,clean
158,angry,sad,0.7933166027069092,clean
159,angry,fear,0.41134607791900635,clean
161,angry,surprise,0.8102176189422607,clean
164,angry,happy,0.5045453310012817,clean
167,angry,sad,0.4058530628681183,clean
170,angry,neutral,0.9383867979049683,clean
172,angry,happy,0.4918823838233948,clean
173,angry,fear,0.7729135155677795,clean
175,angry,neutral,0.47036582231521606,clean
182,angry,fear,0.7234281301498413,clean
184,angry,fear,0.4521176218986511,clean
186,angry,neutral,0.9100674390792847,clean
188,angry,sad,0.7605606317520142,clean
191,angry,sad,0.47481322288513184,clean
192,angry,disgust,0.7845760583877563,clean
194,angry,neutral,0.821387767791748,clean
196,angry,neutral,0.885910153388977,clean
197,angry,sad,0.8880223035812378,clean
198,angry,fear,0.7939302921295166,clean
199,angry,sad,0.30320870876312256,clean
200,angry,surprise,0.3521295189857483,clean
201,angry,fear,0.429225891828537,clean
202,angry,sad,0.5169292688369751,clean
204,angry,fear,0.5321288108825684,clean
207,angry,sad,0.645102858543396,clean
210,angry,sad,0.5327321887016296,clean
213,angry,fear,0.6588475704193115,clean
214,angry,fear,0.42523056268692017,clean
215,angry,sad,0.4623263478279114,clean
216,angry,disgust,0.6379686594009399,clean
222,angry,sad,0.7078921794891357,clean
225,angry,fear,0.6101377010345459,clean
228,angry,sad,0.6097747087478638,clean
232,angry,happy,0.848925769329071,clean
235,angry,happy,0.5877654552459717,clean
238,angry,neutral,0.3449309468269348,clean
240,angry,neutral,0.6290931105613708,clean
242,angry,sad,0.4121438264846802,clean
246,angry,fear,0.6633503437042236,clean
250,angry,sad,0.35843658447265625,clean
257,angry,fear,0.7116484045982361,clean
258,angry,neutral,0.707931637763977,clean
263,angry,neutral,0.39261889457702637,clean
265,angry,sad,0.3550231456756592,clean
266,angry,sad,0.5595239400863647,clean
271,angry,fear,0.3524315655231476,clean
273,angry,fear,0.5203737020492554,clean
275,angry,neutral,0.5362350344657898,clean
279,angry,sad,0.40579986572265625,clean
286,angry,fear,0.3820573091506958,clean
290,angry,neutral,0.5496232509613037,clean
291,angry,neutral,0.5188500881195068,clean
292,angry,sad,0.5655804872512817,clean
294,angry,sad,0.40519922971725464,clean
295,angry,neutral,0.6773831248283386,clean
296,angry,sad,0.37975770235061646,clean
297,angry,sad,0.37697288393974304,clean
303,angry,sad,0.678714394569397,clean
305,angry,surprise,0.5658212304115295,clean
309,angry,sad,0.2827998995780945,clean
310,angry,sad,0.34453916549682617,clean
312,angry,sad,0.6438316702842712,clean
314,angry,fear,0.363362193107605,clean
320,angry,fear,0.6493099927902222,clean
322,angry,fear,0.8485848903656006,clean
324,angry,neutral,0.3478827476501465,clean
327,angry,sad,0.5546234846115112,clean
332,angry,happy,0.8302052617073059,clean
335,angry,sad,0.8607728481292725,clean
336,angry,neutral,0.9840867519378662,clean
337,angry,neutral,0.4946724772453308,clean
