index,true,predicted,predicted_probability,occlusion_mode
0,angry,happy,0.425808846950531,eye
1,angry,fear,0.46963635087013245,eye
2,angry,neutral,0.48718002438545227,eye
3,angry,fear,0.5382249355316162,eye
4,angry,neutral,0.3786395788192749,eye
6,angry,neutral,0.35021668672561646,eye
8,angry,neutral,0.5107215046882629,eye
9,angry,sad,0.3101809322834015,eye
10,angry,sad,0.7718850374221802,eye
11,angry,neutral,0.5946844220161438,eye
12,angry,sad,0.4043065309524536,eye
13,angry,fear,0.4311159551143646,eye
16,angry,happy,0.8752032518386841,eye
17,angry,sad,0.4351043701171875,eye
20,angry,sad,0.4858095049858093,eye
21,angry,happy,0.8285332918167114,eye
23,angry,sad,0.5444716215133667,eye
24,angry,sad,0.325806200504303,eye
26,angry,sad,0.4104398190975189,eye
27,angry,sad,0.45979514718055725,eye
28,angry,sad,0.7083921432495117,eye
30,angry,neutral,0.4251880645751953,eye
31,angry,neutral,0.5142624974250793,eye
32,angry,happy,0.5279693603515625,eye
37,angry,fear,0.642864465713501,eye
38,angry,fear,0.5922305583953857,eye
40,angry,sad,0.5741105079650879,eye
41,angry,happy,0.43908703327178955,eye
43,angry,fear,0.818709671497345,eye
44,angry,fear,0.31510305404663086,eye
45,angry,fear,0.4760652780532837,eye
47,angry,surprise,0.515453040599823,eye
48,angry,sad,0.32435932755470276,eye
49,angry,sad,0.507219672203064,eye
50,angry,sad,0.608001708984375,eye
51,angry,neutral,0.3389616012573242,eye
53,angry,surprise,0.5205346345901489,eye
54,angry,sad,0.8506272435188293,eye
56,angry,neutral,0.30633285641670227,eye
57,angry,fear,0.9778842329978943,eye
60,angry,sad,0.527934193611145,eye
64,angry,sad,0.8266745805740356,eye
69,angry,happy,0.3580544590950012,eye
71,angry,sad,0.6390156745910645,eye
72,angry,fear,0.468877375125885,eye
73,angry,sad,0.480658620595932,eye
74,angry,sad,0.4446186423301697,eye
75,angry,sad,0.4068499803543091,eye
76,angry,fear,0.32207274436950684,eye
80,angry,fear,0.47845742106437683,eye
82,angry,neutral,0.38917964696884155,eye
83,angry,fear,0.5707627534866333,eye
85,angry,sad,0.3971138596534729,eye
86,angry,sad,0.5893489122390747,eye
89,angry,fear,0.48219576478004456,eye
90,angry,happy,0.7054511308670044,eye
91,angry,fear,0.6191937923431396,eye
92,angry,neutral,0.37056487798690796,eye
93,angry,neutral,0.6704353094100952,eye
94,angry,sad,0.47875767946243286,eye
97,angry,sad,0.4816526472568512,eye
101,angry,fear,0.44285833835601807,eye
105,angry,sad,0.4710221290588379,eye
109,angry,fear,0.5381196737289429,eye
110,angry,neutral,0.3003063201904297,eye
111,angry,happy,0.44619232416152954,eye
112,angry,sad,0.6111858487129211,eye
114,angry,sad,0.3877784013748169,eye
117,angry,sad,0.4240502119064331,eye
118,angry,fear,0.4912285804748535,eye
119,angry,neutral,0.8424136638641357,eye
120,angry,disgust,0.40535685420036316,eye
121,angry,sad,0.5750781893730164,eye
123,angry,fear,0.37992963194847107,eye
124,angry,sad,0.45103734731674194,eye
127,angry,neutral,0.6035046577453613,eye
128,angry,sad,0.47494685649871826,eye
130,angry,fear,0.6456613540649414,eye
131,angry,happy,0.4142238199710846,eye
132,angry,fear,0.48924678564071655,eye
133,angry,happy,0.445875346660614,eye
135,angry,sad,0.41799959540367126,eye
136,angry,neutral,0.5008361339569092,eye
139,angry,sad,0.4034835994243622,eye
141,angry,fear,0.3225943446159363,eye
146,angry,happy,0.7746187448501587,eye
148,angry,fear,0.5335490703582764,eye
150,angry,fear,0.4144964814186096,eye
151,angry,sad,0.380115270614624,eye
152,angry,sad,0.7068965435028076,eye
153,angry,sad,0.37458324432373047,eye
154,angry,sad,0.49281764030456543,eye
155,angry,neutral,0.40564775466918945,eye
156,angry,sad,0.339487761259079,eye
157,angry,neutral,0.3769609332084656,eye
158,angry,sad,0.6269217729568481,eye
160,angry,happy,0.6986674070358276,eye
161,angry,surprise,0.7634726166725159,eye
162,angry,fear,0.3783608078956604,eye
163,angry,sad,0.48409414291381836,eye
164,angry,sad,0.5688956379890442,eye
165,angry,sad,0.5066844820976257,eye
166,angry,neutral,0.4178719222545624,eye
167,angry,sad,0.4185155928134918,eye
168,angry,fear,0.5925689339637756,eye
169,angry,fear,0.25863465666770935,eye
170,angry,neutral,0.9163289070129395,eye
172,angry,sad,0.44699639081954956,eye
173,angry,fear,0.8131651878356934,eye
174,angry,sad,0.3658303916454315,eye
175,angry,neutral,0.38264167308807373,eye
178,angry,sad,0.49872589111328125,eye
182,angry,fear,0.6309406757354736,eye
184,angry,fear,0.7634775638580322,eye
186,angry,neutral,0.8363949060440063,eye
188,angry,sad,0.6342722773551941,eye
189,angry,neutral,0.3742726445198059,eye
190,angry,sad,0.41683006286621094,eye
191,angry,neutral,0.4796391427516937,eye
192,angry,disgust,0.8840236663818359,eye
193,angry,happy,0.35893648862838745,eye
194,angry,neutral,0.5136256217956543,eye
195,angry,happy,0.4067951738834381,eye
196,angry,neutral,0.5266706347465515,eye
197,angry,happy,0.6148133277893066,eye
198,angry,fear,0.7675009965896606,eye
199,angry,happy,0.3951566517353058,eye
200,angry,happy,0.4144136309623718,eye
201,angry,fear,0.38522595167160034,eye
202,angry,sad,0.5561590194702148,eye
204,angry,fear,0.5773535966873169,eye
205,angry,sad,0.3291816711425781,eye
206,angry,sad,0.6658859252929688,eye
207,angry,sad,0.4678911566734314,eye
208,angry,fear,0.4611837565898895,eye
210,angry,sad,0.5400152206420898,eye
211,angry,fear,0.5527340769767761,eye
213,angry,fear,0.3981870412826538,eye
214,angry,fear,0.6786112785339355,eye
215,angry,sad,0.40679627656936646,eye
216,angry,disgust,0.6482350826263428,eye
220,angry,neutral,0.3487129211425781,eye
222,angry,sad,0.5211373567581177,eye
223,angry,fear,0.3929019570350647,eye
224,angry,fear,0.5842592716217041,eye
225,angry,fear,0.6684331297874451,eye
227,angry,fear,0.6001446843147278,eye
228,angry,sad,0.6103523969650269,eye
232,angry,happy,0.9781088829040527,eye
235,angry,happy,0.9004415273666382,eye
238,angry,disgust,0.5393983125686646,eye
240,angry,neutral,0.5662994384765625,eye
242,angry,neutral,0.4309898018836975,eye
243,angry,sad,0.6156575679779053,eye
246,angry,fear,0.36709195375442505,eye
247,angry,happy,0.5402019023895264,eye
249,angry,disgust,0.6480075120925903,eye
250,angry,neutral,0.45915067195892334,eye
251,angry,fear,0.47747498750686646,eye
257,angry,fear,0.6249368786811829,eye
258,angry,neutral,0.45145854353904724,eye
263,angry,neutral,0.5862373113632202,eye
264,angry,sad,0.4381555914878845,eye
265,angry,neutral,0.46620768308639526,eye
267,angry,neutral,0.36938488483428955,eye
268,angry,sad,0.6227408647537231,eye
270,angry,surprise,0.4305954575538635,eye
271,angry,sad,0.38666626811027527,eye
272,angry,neutral,0.38114574551582336,eye
273,angry,fear,0.5229437351226807,eye
275,angry,happy,0.31982704997062683,eye
279,angry,sad,0.5709481835365295,eye
281,angry,happy,0.7981280088424683,eye
283,angry,sad,0.3292595148086548,eye
286,angry,sad,0.27982696890830994,eye
290,angry,fear,0.3495544195175171,eye
291,angry,sad,0.7601999044418335,eye
292,angry,sad,0.7532278299331665,eye
294,angry,sad,0.443450927734375,eye
295,angry,neutral,0.886868953704834,eye
296,angry,sad,0.4347081780433655,eye
299,angry,surprise,0.4777090549468994,eye
300,angry,fear,0.7433907985687256,eye
303,angry,neutral,0.47146451473236084,eye
304,angry,neutral,0.5791659355163574,eye
305,angry,surprise,0.8090434074401855,eye
307,angry,happy,0.43108487129211426,eye
309,angry,neutral,0.5918911695480347,eye
310,angry,fear,0.340101420879364,eye
312,angry,sad,0.5172770619392395,eye
314,angry,sad,0.42849212884902954,eye
316,angry,neutral,0.5119690895080566,eye
322,angry,fear,0.6238069534301758,eye
324,angry,happy,0.3923596143722534,eye
325,angry,sad,0.5023372769355774,eye
327,angry,sad,0.5240285396575928,eye
328,angry,disgust,0.4524326026439667,eye
329,angry,neutral,0.5454573631286621,eye
331,angry,sad,0.41356325149536133,eye
335,angry,sad,0.7794237732887268,eye
336,angry,neutral,0.9135642647743225,eye
337,angry,sad,0.34419694542884827,eye
341,angry,fear,0.39737117290496826,eye
344,angry,sad,0.5628877878189087,eye
345,angry,sad,0.3273743987083435,eye
346,angry,sad,0.5448291301727295,eye
347,angry,sad,0.5381030440330505,eye
348,angry,neutral,0.7716977596282959,eye
350,angry,happy,0.33159226179122925,eye
352,angry,fear,0.3524172902107239,eye
353,angry,neutral,0.4027826488018036,eye
356,angry,disgust,0.4947887063026428,eye
357,angry,sad,0.49324026703834534,eye
359,angry,sad,0.3490544259548187,eye
360,angry,fear,0.25622260570526123,eye
362,angry,sad,0.5706285238265991,eye
363,angry,sad,0.5088201761245728,eye
365,angry,sad,0.500325083732605,eye
366,angry,sad,0.387209415435791,eye
367,angry,sad,0.43351981043815613,eye
370,angry,sad,0.6034547090530396,eye
371,angry,fear,0.6625005006790161,eye
374,angry,neutral,0.5436478853225708,eye
376,angry,fear,0.5061114430427551,eye
377,angry,sad,0.8260231018066406,eye
379,angry,sad,0.5288078784942627,eye
381,angry,neutral,0.38975197076797485,eye
382,angry,fear,0.5870927572250366,eye
383,angry,neutral,0.475932240486145,eye
386,angry,neutral,0.47665271162986755,eye
388,angry,neutral,0.37257063388824463,eye
389,angry,sad,0.392520010471344,eye
390,angry,fear,0.3688619136810303,eye
391,angry,surprise,0.9195857048034668,eye
394,angry,surprise,0.35336828231811523,eye
395,angry,neutral,0.8140970468521118,eye
398,angry,fear,0.528213381767273,eye
399,angry,sad,0.39987826347351074,eye
400,angry,sad,0.6855397820472717,eye
403,angry,happy,0.3608768880367279,eye
404,angry,sad,0.42851805686950684,eye
408,angry,happy,0.49980372190475464,eye
411,angry,sad,0.5239049196243286,eye
412,angry,sad,0.690833330154419,eye
415,angry,sad,0.34868475794792175,eye
416,angry,neutral,0.6078990697860718,eye
418,angry,sad,0.6184424161911011,eye
420,angry,happy,0.40072721242904663,eye
424,angry,happy,0.48766404390335083,eye
425,angry,fear,0.37857621908187866,eye
426,angry,happy,0.5754384994506836,eye
427,angry,happy,0.42457517981529236,eye
429,angry,sad,0.39169958233833313,eye
431,angry,happy,0.6972535252571106,eye
433,angry,sad,0.4605638384819031,eye
435,angry,sad,0.48819977045059204,eye
436,angry,neutral,0.5130744576454163,eye
439,angry,sad,0.5528645515441895,eye
441,angry,sad,0.45971155166625977,eye
442,angry,fear,0.3310694098472595,eye
443,angry,sad,0.45318639278411865,eye
444,angry,neutral,0.4418378472328186,eye
446,angry,neutral,0.5016649961471558,eye
447,angry,sad,0.23520901799201965,eye
450,angry,neutral,0.6189520359039307,eye
451,angry,neutral,0.42775097489356995,eye
452,angry,disgust,0.5042346715927124,eye
455,angry,neutral,0.6821215152740479,eye
456,angry,fear,0.8395771980285645,eye
458,angry,sad,0.39821213483810425,eye
459,angry,fear,0.6471731662750244,eye
462,angry,sad,0.41335737705230713,eye
465,angry,sad,0.5229153633117676,eye
466,angry,surprise,0.5751903057098389,eye
467,angry,sad,0.29461032152175903,eye
468,angry,sad,0.4654189646244049,eye
470,angry,neutral,0.7146539688110352,eye
471,angry,neutral,0.39148300886154175,eye
472,angry,fear,0.7841669321060181,eye
473,angry,surprise,0.9553835391998291,eye
474,angry,sad,0.654377818107605,eye
475,angry,neutral,0.6270747184753418,eye
477,angry,sad,0.43405085802078247,eye
478,angry,sad,0.6041181087493896,eye
479,angry,fear,0.39108455181121826,eye
480,angry,surprise,0.2788827419281006,eye
481,angry,surprise,0.3764501214027405,eye
482,angry,surprise,0.7648286819458008,eye
483,angry,neutral,0.8575801849365234,eye
484,angry,neutral,0.5457347631454468,eye
485,angry,neutral,0.3937114477157593,eye
486,angry,neutral,0.6954339146614075,eye
492,angry,sad,0.8092535734176636,eye
493,angry,sad,0.3913764953613281,eye
496,angry,sad,0.6899977922439575,eye
497,angry,fear,0.4096001386642456,eye
499,angry,sad,0.5292957425117493,eye
502,angry,neutral,0.3846973180770874,eye
504,angry,fear,0.4026367664337158,eye
506,angry,sad,0.5454500913619995,eye
507,angry,sad,0.7090770602226257,eye
508,angry,fear,0.6276931762695312,eye
510,angry,fear,0.4793907403945923,eye
511,angry,sad,0.3901577889919281,eye
512,angry,fear,0.5537410974502563,eye
514,angry,neutral,0.455574095249176,eye
519,angry,neutral,0.5727555751800537,eye
520,angry,happy,0.5408895611763,eye
522,angry,sad,0.39504796266555786,eye
523,angry,sad,0.4543846845626831,eye
528,angry,sad,0.7153939008712769,eye
530,angry,fear,0.48997071385383606,eye
533,angry,sad,0.7333942651748657,eye
534,angry,sad,0.7199413776397705,eye
537,angry,sad,0.6656551957130432,eye
538,angry,surprise,0.5829797387123108,eye
539,angry,sad,0.363023042678833,eye
540,angry,fear,0.5821362733840942,eye
543,angry,neutral,0.4463421106338501,eye
544,angry,fear,0.5224340558052063,eye
545,angry,fear,0.4514678716659546,eye
546,angry,happy,0.5908923149108887,eye
549,angry,neutral,0.3321947455406189,eye
550,angry,neutral,0.6205037832260132,eye
551,angry,surprise,0.2926270663738251,eye
552,angry,neutral,0.6907210350036621,eye
553,angry,sad,0.32006362080574036,eye
554,angry,sad,0.3438236117362976,eye
555,angry,sad,0.3440263867378235,eye
556,angry,sad,0.41381117701530457,eye
557,angry,fear,0.3265652060508728,eye
558,angry,fear,0.38173234462738037,eye
561,angry,sad,0.43874767422676086,eye
562,angry,happy,0.44090455770492554,eye
563,angry,fear,0.26434826850891113,eye
