index,true,predicted,predicted_probability,occlusion_mode
1,angry,fear,0.6055021286010742,mouth
2,angry,fear,0.41077423095703125,mouth
3,angry,fear,0.777519702911377,mouth
4,angry,neutral,0.7693309783935547,mouth
5,angry,happy,0.4683912396430969,mouth
8,angry,neutral,0.39344942569732666,mouth
10,angry,sad,0.6382375359535217,mouth
11,angry,neutral,0.32574331760406494,mouth
12,angry,fear,0.4569457769393921,mouth
14,angry,happy,0.38975390791893005,mouth
20,angry,fear,0.4048423767089844,mouth
21,angry,disgust,0.9800826907157898,mouth
22,angry,happy,0.3118196129798889,mouth
23,angry,neutral,0.5080797076225281,mouth
24,angry,sad,0.7207398414611816,mouth
26,angry,sad,0.4246898293495178,mouth
28,angry,fear,0.5628429651260376,mouth
34,angry,sad,0.5033406615257263,mouth
37,angry,fear,0.8385295867919922,mouth
38,angry,fear,0.8564948439598083,mouth
40,angry,sad,0.784008264541626,mouth
41,angry,happy,0.6058869957923889,mouth
43,angry,surprise,0.5524184107780457,mouth
44,angry,fear,0.2960200309753418,mouth
46,angry,happy,0.5408230423927307,mouth
47,angry,happy,0.3544042408466339,mouth
49,angry,sad,0.3805621266365051,mouth
51,angry,sad,0.8434039354324341,mouth
53,angry,surprise,0.5144747495651245,mouth
55,angry,disgust,0.8278418779373169,mouth
56,angry,sad,0.3815760910511017,mouth
57,angry,fear,0.9533169269561768,mouth
59,angry,sad,0.29258549213409424,mouth
60,angry,sad,0.505207896232605,mouth
62,angry,fear,0.21438881754875183,mouth
64,angry,sad,0.5443914532661438,mouth
66,angry,fear,0.4473508894443512,mouth
69,angry,sad,0.46698081493377686,mouth
70,angry,sad,0.5121169090270996,mouth
71,angry,sad,0.5764070749282837,mouth
72,angry,fear,0.2772003710269928,mouth
75,angry,neutral,0.380923867225647,mouth
76,angry,sad,0.37245869636535645,mouth
81,angry,sad,0.45284223556518555,mouth
85,angry,sad,0.28885918855667114,mouth
86,angry,sad,0.5889467000961304,mouth
91,angry,fear,0.9314777851104736,mouth
92,angry,neutral,0.5382656455039978,mouth
94,angry,fear,0.404470831155777,mouth
97,angry,sad,0.6256238222122192,mouth
98,angry,sad,0.286175012588501,mouth
101,angry,sad,0.37061047554016113,mouth
105,angry,surprise,0.29762256145477295,mouth
109,angry,fear,0.49621692299842834,mouth
111,angry,happy,0.6558128595352173,mouth
112,angry,sad,0.5977703332901001,mouth
117,angry,sad,0.29706621170043945,mouth
118,angry,fear,0.3834768831729889,mouth
119,angry,neutral,0.5685521364212036,mouth
120,angry,disgust,0.6751470565795898,mouth
121,angry,sad,0.34090033173561096,mouth
124,angry,sad,0.38016825914382935,mouth
125,angry,fear,0.36161649227142334,mouth
127,angry,neutral,0.3222590684890747,mouth
129,angry,sad,0.4206443428993225,mouth
132,angry,fear,0.36186379194259644,mouth
135,angry,happy,0.772006630897522,mouth
139,angry,neutral,0.27906519174575806,mouth
141,angry,surprise,0.32102036476135254,mouth
142,angry,fear,0.32722848653793335,mouth
144,angry,fear,0.5074808597564697,mouth
146,angry,happy,0.6031129360198975,mouth
148,angry,surprise,0.6112456321716309,mouth
150,angry,sad,0.44910746812820435,mouth
152,angry,happy,0.44200050830841064,mouth
155,angry,neutral,0.34077218174934387,mouth
156,angry,sad,0.468969464302063,mouth
157,angry,neutral,0.27522754669189453,mouth
158,angry,sad,0.5734197497367859,mouth
159,angry,neutral,0.21953953802585602,mouth
160,angry,happy,0.6905243396759033,mouth
161,angry,fear,0.4351445138454437,mouth
164,angry,sad,0.6593211889266968,mouth
167,angry,sad,0.4472333788871765,mouth
169,angry,happy,0.5616344213485718,mouth
170,angry,neutral,0.8254432678222656,mouth
172,angry,sad,0.39918142557144165,mouth
173,angry,surprise,0.7837245464324951,mouth
175,angry,neutral,0.5921623706817627,mouth
176,angry,neutral,0.28488844633102417,mouth
177,angry,fear,0.46627193689346313,mouth
180,angry,neutral,0.4917455017566681,mouth
182,angry,fear,0.7299685478210449,mouth
184,angry,surprise,0.46099621057510376,mouth
186,angry,neutral,0.571805477142334,mouth
188,angry,sad,0.6936483979225159,mouth
189,angry,sad,0.3595123291015625,mouth
191,angry,neutral,0.4968140721321106,mouth
192,angry,surprise,0.46033036708831787,mouth
194,angry,neutral,0.6567303538322449,mouth
195,angry,neutral,0.4995983839035034,mouth
196,angry,neutral,0.4824756979942322,mouth
197,angry,sad,0.8988087177276611,mouth
198,angry,fear,0.6234981417655945,mouth
199,angry,sad,0.4404185712337494,mouth
201,angry,sad,0.3118211328983307,mouth
202,angry,sad,0.3840765953063965,mouth
203,angry,neutral,0.35736697912216187,mouth
204,angry,fear,0.6839851140975952,mouth
205,angry,sad,0.4461444616317749,mouth
207,angry,sad,0.5589051246643066,mouth
210,angry,fear,0.2900160551071167,mouth
213,angry,neutral,0.3741528391838074,mouth
