index,true,predicted,predicted_probability,occlusion_mode
0,angry,sad,0.2776779532432556,random
1,angry,fear,0.44469982385635376,random
2,angry,sad,0.4189218282699585,random
3,angry,fear,0.690754771232605,random
4,angry,neutral,0.6771633625030518,random
10,angry,sad,0.7707399129867554,random
11,angry,neutral,0.46939218044281006,random
12,angry,sad,0.43927329778671265,random
14,angry,fear,0.46985918283462524,random
20,angry,sad,0.3627561926841736,random
21,angry,disgust,0.9949523210525513,random
23,angry,neutral,0.6078044772148132,random
24,angry,sad,0.6835607290267944,random
26,angry,sad,0.34317725896835327,random
28,angry,sad,0.6830081939697266,random
34,angry,disgust,0.5168017148971558,random
37,angry,fear,0.6776962280273438,random
38,angry,fear,0.9084587097167969,random
40,angry,sad,0.604772686958313,random
41,angry,happy,0.8293045163154602,random
43,angry,fear,0.9597623348236084,random
44,angry,surprise,0.4313097298145294,random
47,angry,happy,0.5430262088775635,random
49,angry,sad,0.3850609064102173,random
51,angry,sad,0.8777444362640381,random
53,angry,surprise,0.8113869428634644,random
56,angry,sad,0.306054025888443,random
57,angry,fear,0.9608827233314514,random
60,angry,sad,0.561538577079773,random
64,angry,sad,0.8661245703697205,random
66,angry,fear,0.5192333459854126,random
69,angry,sad,0.47931164503097534,random
70,angry,happy,0.5987672805786133,random
71,angry,sad,0.5527774095535278,random
75,angry,neutral,0.35380125045776367,random
76,angry,sad,0.3584247827529907,random
85,angry,neutral,0.32501453161239624,random
86,angry,sad,0.472089558839798,random
90,angry,happy,0.8516716957092285,random
91,angry,fear,0.7116256356239319,random
92,angry,neutral,0.5617616176605225,random
94,angry,sad,0.4227522015571594,random
97,angry,sad,0.5186958909034729,random
101,angry,fear,0.3437952399253845,random
105,angry,neutral,0.4486292600631714,random
109,angry,fear,0.7509622573852539,random
111,angry,happy,0.8491009473800659,random
112,angry,sad,0.7338520288467407,random
117,angry,sad,0.419818252325058,random
120,angry,disgust,0.7179868221282959,random
121,angry,sad,0.8129005432128906,random
124,angry,sad,0.5098434090614319,random
127,angry,fear,0.3582690358161926,random
132,angry,fear,0.5416034460067749,random
146,angry,happy,0.8123894929885864,random
148,angry,surprise,0.817689061164856,random
152,angry,sad,0.5358288288116455,random
155,angry,neutral,0.3531801998615265,random
156,angry,sad,0.5425097346305847,random
157,angry,neutral,0.34916019439697266,random
158,angry,sad,0.693341851234436,random
161,angry,surprise,0.6798881888389587,random
164,angry,neutral,0.47914236783981323,random
166,angry,sad,0.42479875683784485,random
167,angry,sad,0.23863543570041656,random
169,angry,happy,0.4390603303909302,random
170,angry,neutral,0.9004283547401428,random
172,angry,happy,0.4800911843776703,random
173,angry,fear,0.8025398850440979,random
175,angry,neutral,0.5986979007720947,random
182,angry,fear,0.677574872970581,random
184,angry,fear,0.5690497159957886,random
185,angry,fear,0.4546201229095459,random
186,angry,neutral,0.8552463054656982,random
188,angry,sad,0.7636399269104004,random
191,angry,sad,0.6916844248771667,random
192,angry,disgust,0.8378576040267944,random
194,angry,neutral,0.8974344730377197,random
196,angry,neutral,0.934627115726471,random
197,angry,sad,0.6720794439315796,random
198,angry,fear,0.6696221232414246,random
199,angry,sad,0.35863935947418213,random
201,angry,fear,0.6041134595870972,random
202,angry,sad,0.6072783470153809,random
204,angry,surprise,0.5693265199661255,random
207,angry,sad,0.639924168586731,random
210,angry,sad,0.5656179189682007,random
213,angry,fear,0.5735450983047485,random
215,angry,sad,0.43390655517578125,random
222,angry,sad,0.731208324432373,random
225,angry,fear,0.6337951421737671,random
228,angry,sad,0.42259883880615234,random
231,angry,neutral,0.3937298655509949,random
232,angry,happy,0.851387619972229,random
235,angry,happy,0.8166611194610596,random
237,angry,sad,0.3370181918144226,random
238,angry,sad,0.33499929308891296,random
242,angry,sad,0.5564009547233582,random
246,angry,fear,0.4755682051181793,random
247,angry,neutral,0.6070219278335571,random
250,angry,neutral,0.48971354961395264,random
257,angry,fear,0.6707577705383301,random
258,angry,neutral,0.7671120166778564,random
263,angry,neutral,0.4826466143131256,random
266,angry,sad,0.5425413846969604,random
271,angry,fear,0.4696435332298279,random
273,angry,fear,0.6156896352767944,random
275,angry,sad,0.5206750631332397,random
279,angry,sad,0.3555910289287567,random
280,angry,disgust,0.5411620140075684,random
281,angry,happy,0.5808210968971252,random
286,angry,fear,0.3736076056957245,random
290,angry,neutral,0.41685086488723755,random
291,angry,neutral,0.5074173212051392,random
292,angry,sad,0.7802783250808716,random
294,angry,sad,0.6417085528373718,random
295,angry,neutral,0.600997805595398,random
296,angry,sad,0.39390671253204346,random
297,angry,sad,0.5330561995506287,random
299,angry,surprise,0.6866408586502075,random
303,angry,sad,0.49152135848999023,random
304,angry,neutral,0.5415542125701904,random
305,angry,surprise,0.6725078821182251,random
309,angry,sad,0.29521310329437256,random
312,angry,sad,0.6138423681259155,random
314,angry,fear,0.4391324520111084,random
321,angry,sad,0.43937599658966064,random
322,angry,fear,0.859370768070221,random
324,angry,neutral,0.3580653667449951,random
326,angry,fear,0.4908207058906555,random
327,angry,sad,0.5245798826217651,random
332,angry,happy,0.8866187334060669,random
335,angry,sad,0.7906357049942017,random
336,angry,neutral,0.9784342050552368,random
337,angry,neutral,0.6739648580551147,random
340,angry,fear,0.6357803344726562,random
343,angry,fear,0.43935391306877136,random
344,angry,sad,0.4219827950000763,random
345,angry,neutral,0.43482789397239685,random
346,angry,sad,0.5519393682479858,random
348,angry,neutral,0.7063866853713989,random
353,angry,neutral,0.6617031097412109,random
354,angry,fear,0.3950592875480652,random
356,angry,happy,0.4348383843898773,random
357,angry,disgust,0.4572169780731201,random
358,angry,fear,0.4159797430038452,random
359,angry,fear,0.3890167474746704,random
360,angry,sad,0.31617099046707153,random
363,angry,sad,0.463556170463562,random
365,angry,sad,0.31866878271102905,random
366,angry,fear,0.5144321918487549,random
367,angry,sad,0.49739205837249756,random
371,angry,fear,0.8339189291000366,random
374,angry,neutral,0.339957058429718,random
375,angry,happy,0.4344244599342346,random
376,angry,fear,0.6750892400741577,random
377,angry,sad,0.8480633497238159,random
379,angry,sad,0.4145573377609253,random
383,angry,neutral,0.44632038474082947,random
384,angry,fear,0.504602313041687,random
388,angry,neutral,0.6310213804244995,random
390,angry,fear,0.5497542023658752,random
391,angry,surprise,0.757349967956543,random
395,angry,neutral,0.88768470287323,random
396,angry,sad,0.6772441864013672,random
398,angry,fear,0.7043464779853821,random
405,angry,sad,0.4006756544113159,random
408,angry,happy,0.40527230501174927,random
410,angry,sad,0.4198364019393921,random
412,angry,sad,0.7636305689811707,random
415,angry,sad,0.34667283296585083,random
416,angry,sad,0.6513991355895996,random
420,angry,disgust,0.47483205795288086,random
427,angry,fear,0.41278231143951416,random
433,angry,sad,0.5639275312423706,random
434,angry,disgust,0.6804026365280151,random
439,angry,sad,0.4198940396308899,random
444,angry,sad,0.46904969215393066,random
446,angry,neutral,0.2919822335243225,random
447,angry,sad,0.48133403062820435,random
450,angry,neutral,0.9163926243782043,random
451,angry,neutral,0.4675731658935547,random
