frame,warmup,persons,main_visible,inference_ms,draw_ms
450,True,2,17,2471.001,21.066
451,True,2,17,57.675,0.918
452,True,2,17,41.277,0.785
453,False,2,17,38.368,0.978
454,False,2,17,47.436,1.148
455,False,2,17,39.643,1.053
456,False,2,17,48.429,0.956
457,False,2,17,41.805,1.491
458,False,2,17,41.354,1.085
459,False,2,17,42.303,1.095
460,False,2,17,40.077,1.224
461,False,2,17,50.22,1.517
462,False,2,17,67.529,1.187
463,False,2,17,43.676,1.45
464,False,2,17,52.937,1.22
465,False,2,17,42.059,0.961
466,False,2,17,44.78,1.188
467,False,2,17,47.357,1.708
468,False,2,17,40.911,1.137
469,False,2,17,39.13,1.097
470,False,2,17,47.065,2.555
471,False,2,17,52.364,1.063
472,False,2,17,45.265,1.27
473,False,2,17,49.067,1.103
474,False,2,17,53.724,1.26
475,False,2,17,41.902,1.07
476,False,2,17,73.007,1.085
477,False,2,17,47.083,1.303
478,False,2,17,43.193,1.193
479,False,2,17,48.698,1.108
