frame,warmup,persons,main_visible,inference_ms,draw_ms
900,True,1,17,2465.71,22.734
901,True,1,17,47.078,1.124
902,True,1,17,46.864,1.244
903,False,1,17,42.869,1.302
904,False,1,17,42.759,1.231
905,False,1,17,47.118,1.272
906,False,1,17,49.17,1.274
907,False,1,17,47.321,1.251
908,False,1,17,44.627,1.242
909,False,1,17,44.513,1.097
910,False,1,17,45.04,1.209
911,False,1,17,46.003,1.223
912,False,1,17,57.211,1.305
913,False,1,17,48.327,1.303
914,False,1,17,46.144,1.219
915,False,1,17,45.628,1.498
916,False,1,17,44.89,1.558
917,False,1,17,40.849,1.155
918,False,1,17,47.671,1.055
919,False,1,17,58.031,1.444
920,False,1,17,49.893,1.136
921,False,1,17,44.993,1.181
922,False,1,17,44.027,1.329
923,False,1,17,51.482,1.298
924,False,1,17,61.404,1.364
925,False,1,17,65.316,1.206
926,False,1,17,60.497,1.39
927,False,1,17,49.54,1.009
928,False,1,17,51.08,1.35
929,False,1,17,45.119,1.276
930,False,1,17,50.415,1.254
931,False,1,17,47.507,1.258
932,False,1,17,44.588,1.187
933,False,1,17,45.098,1.277
934,False,1,17,52.249,1.077
935,False,1,17,48.523,1.557
936,False,1,17,46.215,1.404
937,False,1,17,47.806,1.021
938,False,1,17,46.548,1.197
939,False,1,17,49.001,1.205
940,False,1,17,46.862,1.29
941,False,1,17,43.553,1.308
942,False,1,17,50.11,1.405
943,False,1,17,45.742,1.429
944,False,1,17,52.078,1.224
945,False,1,17,52.978,1.248
946,False,1,17,43.826,1.546
947,False,1,17,44.164,1.204
948,False,1,17,47.33,1.179
949,False,1,17,45.511,1.248
950,False,1,17,48.738,1.145
951,False,1,17,46.818,1.212
952,False,1,17,53.289,1.318
953,False,1,17,46.613,0.896
954,False,1,17,40.467,1.228
955,False,1,17,44.219,1.182
956,False,1,17,47.142,1.263
957,False,1,17,45.008,1.367
958,False,1,17,41.604,1.135
959,False,1,17,43.132,1.006
960,False,1,17,47.238,0.955
961,False,1,17,48.689,1.205
962,False,1,17,43.623,1.34
963,False,1,17,44.06,1.129
964,False,1,17,43.675,0.982
965,False,1,17,40.511,1.135
966,False,1,17,44.267,1.265
967,False,1,17,47.765,1.209
968,False,1,17,45.211,1.182
969,False,1,17,41.475,0.99
970,False,1,17,66.311,1.16
971,False,1,17,50.477,1.553
972,False,1,17,63.711,0.802
973,False,1,17,63.864,1.573
974,False,1,17,55.514,1.855
975,False,1,17,55.452,1.379
976,False,1,17,52.704,1.24
977,False,1,17,66.88,1.228
978,False,1,17,58.901,1.418
979,False,1,17,61.897,1.496
980,False,1,17,51.101,1.271
981,False,1,17,63.04,1.531
982,False,1,17,55.794,1.19
983,False,1,17,46.444,1.164
984,False,1,17,44.109,1.38
985,False,1,17,41.831,1.202
986,False,1,17,40.529,1.204
987,False,1,17,46.059,1.243
988,False,1,17,48.37,1.172
989,False,1,17,46.446,1.066
990,False,1,17,41.917,1.013
991,False,1,17,40.095,1.096
992,False,1,17,41.766,1.073
993,False,1,17,37.515,1.156
994,False,1,17,37.426,1.009
995,False,1,17,39.057,1.098
996,False,1,17,39.262,1.247
997,False,1,17,51.153,1.155
998,False,1,17,50.145,0.843
999,False,1,17,49.979,1.119
1000,False,1,17,53.208,1.331
1001,False,1,17,51.888,1.032
1002,False,1,17,55.445,1.095
1003,False,1,17,52.53,1.182
1004,False,1,17,46.552,0.932
1005,False,1,17,40.651,0.894
1006,False,2,17,45.492,0.946
1007,False,2,17,41.671,1.007
1008,False,2,17,44.115,0.981
1009,False,2,17,43.859,1.029
1010,False,2,17,47.31,1.279
1011,False,2,17,44.081,1.106
1012,False,2,17,40.733,0.989
1013,False,2,17,44.802,1.044
1014,False,2,17,53.327,1.041
1015,False,2,17,46.171,1.005
1016,False,2,17,41.502,0.971
1017,False,2,17,42.708,1.204
1018,False,2,17,43.472,1.037
1019,False,2,17,46.157,1.328
