frame,persons,main_visible,inference_ms,draw_ms
900,1,17,4793.226,43.598
901,1,17,63.179,2.485
902,1,17,44.613,1.443
903,1,17,49.003,1.134
904,1,17,39.101,1.198
905,1,17,44.909,1.138
906,1,17,39.206,1.122
907,1,17,42.28,1.199
908,1,17,40.863,2.339
909,1,17,41.799,1.233
910,1,17,43.559,1.15
911,1,17,43.15,1.32
912,1,17,40.781,1.127
913,1,17,42.772,1.186
914,1,17,42.413,1.239
915,1,17,38.465,1.021
916,1,17,39.787,1.022
917,1,17,51.683,1.042
918,1,17,42.8,1.079
919,1,17,48.613,1.039
920,1,17,39.726,1.393
921,1,17,47.661,1.346
922,1,17,49.868,1.714
923,1,17,50.27,1.258
924,1,17,50.184,1.636
925,1,17,50.953,1.628
926,1,17,44.301,1.316
927,1,17,43.867,1.01
928,1,17,44.862,1.31
929,1,17,45.375,1.166
930,1,17,41.96,1.271
931,1,17,49.161,1.22
932,1,17,48.471,1.326
933,1,17,40.991,1.221
934,1,17,41.221,1.457
935,1,17,35.771,1.218
936,1,17,44.849,1.539
937,1,17,44.059,1.296
938,1,17,45.035,0.994
939,1,17,40.971,1.016
940,1,17,44.968,1.202
941,1,17,52.037,1.157
942,1,17,42.683,1.382
943,1,17,42.73,1.313
944,1,17,39.649,1.349
945,1,17,39.896,1.291
946,1,17,41.543,1.216
947,1,17,42.777,1.399
948,1,17,45.662,0.979
949,1,17,41.496,1.282
950,1,17,46.122,1.298
951,1,17,54.4,1.273
952,1,17,50.78,1.698
953,1,17,42.322,1.21
954,1,17,41.196,1.236
955,1,17,41.443,1.172
956,1,17,46.539,1.098
957,1,17,42.248,1.305
958,1,17,114.317,1.636
959,1,17,67.941,1.301
960,1,17,48.65,1.752
961,1,17,43.133,1.314
962,1,17,53.229,1.292
963,1,17,53.772,1.197
964,1,17,42.828,1.155
965,1,17,39.484,1.417
966,1,17,40.113,1.239
967,1,17,46.717,1.099
968,1,17,43.416,2.062
969,1,17,48.38,1.37
970,1,17,42.619,1.351
971,1,17,40.157,1.133
972,1,17,44.67,1.233
973,1,17,45.397,1.27
974,1,17,37.285,1.156
975,1,17,40.787,1.341
976,1,17,37.389,1.145
977,1,17,40.489,1.213
978,1,17,40.971,1.151
979,1,17,33.603,1.157
980,1,17,42.057,1.226
981,1,17,45.492,1.63
982,1,17,44.801,1.292
983,1,17,39.449,1.273
984,1,17,42.552,1.209
985,1,17,43.124,1.089
986,1,17,41.071,1.262
987,1,17,43.69,1.215
988,1,17,43.801,1.385
989,1,17,38.493,1.449
990,1,17,40.847,1.142
991,1,17,35.608,1.135
992,1,17,36.602,1.116
993,1,17,33.595,1.131
994,1,17,37.089,1.206
995,1,17,35.881,1.117
996,1,17,34.709,1.231
997,1,17,34.499,1.208
998,1,17,35.502,1.12
999,1,17,35.583,1.099
1000,1,17,33.564,0.978
1001,1,17,34.841,1.236
1002,1,17,35.568,1.208
1003,1,17,32.859,1.136
1004,1,17,34.817,1.19
1005,1,17,35.078,1.131
1006,2,17,34.314,1.181
1007,2,17,34.24,1.248
1008,2,17,38.033,1.177
1009,2,17,34.096,1.198
1010,2,17,38.017,1.188
1011,2,17,34.911,1.32
1012,2,17,33.797,1.181
1013,2,17,41.007,1.307
1014,2,17,39.309,1.252
1015,2,17,35.003,1.161
1016,2,17,35.064,1.205
1017,2,17,44.783,1.625
1018,2,17,35.974,1.578
1019,2,17,34.276,1.022
1020,2,17,36.786,1.114
1021,2,17,38.891,1.312
1022,2,17,41.468,1.496
1023,2,17,41.867,1.337
1024,2,17,34.219,1.213
1025,2,17,34.842,1.115
1026,2,17,36.199,1.25
1027,2,17,38.457,1.254
1028,2,17,33.941,1.297
1029,1,17,33.532,0.995
1030,1,17,36.918,1.131
1031,2,17,33.337,1.32
1032,2,17,40.368,1.189
1033,2,17,35.504,1.223
1034,2,17,34.408,1.337
1035,1,17,39.525,1.191
1036,1,17,40.522,1.114
1037,1,17,35.973,1.142
1038,1,17,37.771,1.151
1039,1,17,38.96,1.139
1040,2,17,39.752,1.165
1041,2,17,39.163,1.505
1042,2,17,44.154,2.421
1043,2,17,42.793,1.028
1044,2,17,35.464,1.088
1045,2,17,32.983,1.191
1046,2,17,39.186,1.369
1047,2,17,35.171,1.161
1048,2,17,35.784,1.275
1049,2,17,35.735,1.164
1050,2,17,35.773,1.287
1051,2,17,34.211,1.557
1052,1,17,36.886,1.179
1053,1,17,38.502,1.431
1054,2,17,36.525,1.273
1055,2,17,37.513,1.388
1056,2,17,37.563,1.313
1057,2,17,35.688,1.859
1058,2,17,43.579,1.432
1059,2,17,43.07,1.171
1060,2,17,35.92,1.286
1061,2,17,38.144,2.066
1062,2,17,37.704,1.162
1063,2,17,34.316,1.2
1064,2,17,38.597,1.367
1065,2,17,42.379,1.059
1066,1,16,37.566,0.874
1067,1,17,37.311,0.931
1068,1,17,42.959,1.02
1069,1,17,41.717,0.908
1070,2,17,37.705,1.005
1071,2,17,37.15,1.011
1072,2,17,37.675,0.928
1073,2,17,37.947,0.884
1074,2,17,33.993,0.918
1075,2,17,37.287,1.134
1076,2,17,34.595,0.884
1077,2,17,32.79,1.052
1078,2,17,37.675,0.852
1079,2,17,37.549,0.945
