frame,warmup,persons,main_visible,inference_ms,draw_ms
1800,True,1,17,1959.315,2.296
1801,True,1,17,25.885,1.227
1802,True,1,17,26.642,1.026
1803,False,1,17,28.659,1.248
1804,False,1,17,29.21,1.26
1805,False,1,17,24.276,1.025
1806,False,1,17,26.31,1.252
1807,False,1,17,28.686,1.302
1808,False,1,17,30.166,1.3
1809,False,1,17,32.232,1.394
1810,False,1,17,31.227,1.309
1811,False,1,17,31.025,1.302
1812,False,1,17,30.905,1.351
1813,False,1,17,31.201,1.299
1814,False,1,17,27.934,1.34
1815,False,1,17,29.875,1.386
1816,False,1,17,32.676,1.368
1817,False,1,17,33.217,1.464
1818,False,1,17,32.351,1.248
1819,False,1,17,25.762,1.034
1820,False,1,17,29.034,1.277
1821,False,1,17,27.336,1.235
1822,False,1,17,26.98,1.224
1823,False,1,17,29.223,1.235
1824,False,1,17,28.6,1.197
1825,False,1,17,30.131,1.266
1826,False,1,17,27.213,0.991
1827,False,1,17,24.377,0.99
1828,False,1,17,27.425,1.203
1829,False,1,17,28.072,1.235
1830,False,1,17,27.686,1.227
1831,False,1,17,28.973,1.054
1832,False,1,17,25.716,1.243
1833,False,1,17,25.723,1.009
1834,False,1,17,26.347,0.98
1835,False,1,17,27.713,1.285
1836,False,1,17,28.997,1.216
1837,False,1,17,27.655,1.251
1838,False,1,17,29.692,1.007
1839,False,1,17,24.455,1.0
1840,False,1,17,24.093,1.016
1841,False,1,17,27.125,1.31
1842,False,1,17,29.129,1.293
1843,False,1,17,28.125,1.338
1844,False,1,17,29.068,1.241
1845,False,1,17,27.147,1.304
1846,False,1,17,28.331,1.27
1847,False,1,17,27.548,1.238
1848,False,1,17,28.933,0.961
1849,False,1,17,24.403,1.031
1850,False,1,17,26.346,1.25
1851,False,1,17,27.539,2.459
1852,False,1,17,28.114,1.038
1853,False,1,17,25.312,1.27
1854,False,1,17,28.387,1.229
1855,False,1,17,27.063,1.234
1856,False,1,17,27.944,1.196
1857,False,1,17,27.101,1.172
1858,False,1,17,27.542,1.191
1859,False,1,17,28.114,0.996
1860,False,1,17,28.182,1.251
1861,False,1,17,28.776,1.866
1862,False,1,16,30.144,1.225
1863,False,1,16,27.155,1.231
1864,False,1,16,26.476,1.233
1865,False,1,16,27.196,1.03
1866,False,1,16,26.365,1.295
1867,False,1,16,27.299,1.294
1868,False,1,16,28.813,1.101
1869,False,1,16,30.486,1.277
1870,False,1,16,27.49,1.25
1871,False,1,16,29.298,1.24
1872,False,1,16,27.213,1.267
1873,False,1,16,26.845,1.236
1874,False,1,16,29.253,1.245
1875,False,1,16,28.834,1.295
1876,False,1,16,24.792,1.28
1877,False,1,16,27.686,1.018
1878,False,1,16,25.596,1.022
1879,False,1,16,28.585,1.298
1880,False,1,16,27.949,1.27
1881,False,1,16,26.54,1.263
1882,False,1,16,30.784,1.264
1883,False,1,16,28.175,1.288
1884,False,1,17,28.97,1.221
1885,False,1,17,27.083,1.019
1886,False,1,17,24.068,1.254
1887,False,1,17,28.967,1.326
1888,False,1,17,30.266,1.323
1889,False,1,17,29.527,1.593
1890,False,1,17,26.351,1.24
1891,False,1,17,26.092,1.245
1892,False,1,17,28.283,1.231
1893,False,1,17,27.34,1.212
1894,False,1,17,28.121,1.21
1895,False,1,17,30.32,2.581
1896,False,1,17,27.391,1.237
1897,False,1,17,29.329,1.22
1898,False,1,17,26.435,2.422
1899,False,1,17,26.669,1.203
1900,False,1,17,27.484,1.21
1901,False,1,17,25.0,1.036
1902,False,1,17,28.403,1.21
1903,False,1,17,28.974,1.275
1904,False,1,17,27.127,1.199
1905,False,1,17,27.59,1.241
1906,False,1,17,25.892,1.018
1907,False,1,17,26.664,1.165
1908,False,1,17,26.028,0.984
1909,False,1,17,27.204,1.2
1910,False,1,17,28.377,1.212
1911,False,1,17,26.248,1.211
1912,False,1,17,26.126,1.227
1913,False,1,17,28.48,1.219
1914,False,1,17,26.724,1.214
1915,False,1,17,29.459,1.235
1916,False,1,17,29.649,1.249
1917,False,1,17,26.95,2.406
1918,False,1,17,26.761,0.964
1919,False,1,17,24.237,0.972
