step,ref_frame,user_frame,score,feedback,matched_ref_frame,lag_frames,common_keypoints,distance_score,angle_score,limb_score,quality,mirror_used
0,900,892,79.188,Good,900,0,12,0.9323,0.8321,0.8883,0.997,False
1,901,893,76.713,Good,900,1,12,0.9133,0.8174,0.8862,0.9969,False
2,902,894,74.325,Good,900,2,12,0.8607,0.8481,0.8982,0.9965,True
3,903,895,71.918,Good,900,3,12,0.845,0.8271,0.8964,0.9966,True
4,904,896,70.988,Good,900,4,12,0.8416,0.8157,0.8953,0.9964,True
5,905,897,70.941,Good,900,5,12,0.8399,0.8173,0.8954,0.9964,True
6,906,898,75.272,Good,900,6,12,0.8897,0.8292,0.8861,0.9964,False
7,907,899,78.719,Good,900,7,12,0.9304,0.8249,0.8926,0.9964,False
8,908,900,92.415,Super,900,8,12,0.9766,0.9649,0.936,0.9971,False
9,909,901,98.368,Perfect,901,8,12,0.9931,0.9934,0.9987,0.9974,False
10,910,902,99.175,Perfect,902,8,12,0.9979,0.9978,0.9995,0.9977,False
11,911,903,99.407,Perfect,903,8,12,0.9993,0.9991,0.9998,0.9976,False
12,912,904,99.468,Perfect,904,8,12,0.9997,0.9997,0.9999,0.9976,False
13,913,905,99.485,Perfect,905,8,12,0.9999,0.9997,0.9999,0.9976,False
14,914,906,99.632,Perfect,906,8,12,0.9999,0.9999,1.0,0.9982,False
15,915,907,99.6,Perfect,907,8,12,1.0,0.9999,0.9999,0.9981,False
16,916,908,99.627,Perfect,908,8,12,1.0,0.9997,0.9999,0.9983,False
17,917,909,99.601,Perfect,909,8,12,1.0,1.0,1.0,0.998,False
18,918,910,99.577,Perfect,910,8,12,1.0,1.0,1.0,0.9979,False
19,919,911,99.552,Perfect,911,8,12,1.0,1.0,1.0,0.9978,False
20,920,912,99.568,Perfect,912,8,12,1.0,1.0,1.0,0.9978,False
21,921,913,99.561,Perfect,913,8,12,1.0,1.0,1.0,0.9978,False
22,922,914,99.627,Perfect,914,8,12,1.0,1.0,1.0,0.9981,False
23,923,915,99.632,Perfect,915,8,12,1.0,1.0,1.0,0.9982,False
24,924,916,99.6,Perfect,916,8,12,1.0,1.0,1.0,0.998,False
25,925,917,99.527,Perfect,917,8,12,1.0,1.0,1.0,0.9976,False
26,926,918,98.95,Perfect,918,8,12,1.0,1.0,1.0,0.9947,False
27,927,919,98.97,Perfect,919,8,12,1.0,1.0,1.0,0.9948,False
28,928,920,98.966,Perfect,920,8,12,1.0,1.0,1.0,0.9948,False
29,929,921,98.944,Perfect,921,8,12,1.0,1.0,1.0,0.9947,False
30,930,922,99.508,Perfect,922,8,12,1.0,1.0,1.0,0.9975,False
31,931,923,99.587,Perfect,923,8,12,1.0,1.0,1.0,0.9979,False
32,932,924,99.592,Perfect,924,8,12,1.0,1.0,1.0,0.998,False
33,933,925,99.545,Perfect,925,8,12,1.0,1.0,1.0,0.9977,False
34,934,926,99.368,Perfect,926,8,12,1.0,1.0,1.0,0.9968,False
35,935,927,99.402,Perfect,927,8,12,1.0,1.0,1.0,0.997,False
36,936,928,99.203,Perfect,928,8,12,1.0,1.0,1.0,0.996,False
37,937,929,99.484,Perfect,929,8,12,1.0,1.0,1.0,0.9974,False
38,938,930,99.505,Perfect,930,8,12,1.0,1.0,1.0,0.9975,False
39,939,931,99.586,Perfect,931,8,12,1.0,1.0,1.0,0.9979,False
40,940,932,99.599,Perfect,932,8,12,1.0,1.0,1.0,0.998,False
41,941,933,99.397,Perfect,933,8,12,1.0,1.0,1.0,0.997,False
42,942,934,99.506,Perfect,934,8,12,1.0,1.0,1.0,0.9975,False
43,943,935,99.451,Perfect,935,8,12,1.0,1.0,1.0,0.9973,False
44,944,936,98.997,Perfect,936,8,12,1.0,1.0,1.0,0.995,False
45,945,937,99.33,Perfect,937,8,12,1.0,1.0,1.0,0.9966,False
46,946,938,99.456,Perfect,938,8,12,1.0,1.0,1.0,0.9973,False
47,947,939,99.439,Perfect,939,8,12,1.0,1.0,1.0,0.9972,False
48,948,940,99.507,Perfect,940,8,12,1.0,1.0,1.0,0.9975,False
49,949,941,99.453,Perfect,941,8,12,1.0,1.0,1.0,0.9973,False
50,950,942,99.404,Perfect,942,8,12,1.0,1.0,1.0,0.997,False
51,951,943,99.062,Perfect,943,8,12,1.0,1.0,1.0,0.9953,False
52,952,944,99.07,Perfect,944,8,12,1.0,1.0,1.0,0.9953,False
53,953,945,99.221,Perfect,945,8,12,1.0,1.0,1.0,0.9961,False
54,954,946,99.377,Perfect,946,8,12,1.0,1.0,1.0,0.9969,False
55,955,947,99.556,Perfect,947,8,12,1.0,1.0,1.0,0.9978,False
56,956,948,99.588,Perfect,948,8,12,1.0,1.0,1.0,0.9979,False
57,957,949,99.587,Perfect,949,8,12,1.0,1.0,1.0,0.9979,False
58,958,950,99.556,Perfect,950,8,12,1.0,1.0,1.0,0.9978,False
59,959,951,99.113,Perfect,951,8,12,1.0,1.0,1.0,0.9956,False
