step,ref_frame,user_frame,score,feedback,matched_ref_frame,lag_frames,common_keypoints,distance_score,angle_score,limb_score,quality,mirror_used
0,900,892,88.988,Super,900,0,12,0.9323,0.8321,0.8883,0.997,False
1,901,893,87.586,Super,900,1,12,0.9133,0.8174,0.8862,0.9969,False
2,902,894,86.212,Super,900,2,12,0.8607,0.8481,0.8982,0.9965,True
3,903,895,83.855,Super,901,2,12,0.8496,0.7888,0.8951,0.9967,True
4,904,896,83.472,Super,901,3,12,0.8463,0.7828,0.8939,0.9964,True
5,905,897,84.227,Super,900,5,12,0.8399,0.8173,0.8954,0.9964,True
6,906,898,86.76,Super,900,6,12,0.8897,0.8292,0.8861,0.9964,False
7,907,899,88.724,Super,900,7,12,0.9304,0.8249,0.8926,0.9964,False
8,908,900,96.133,Perfect,900,8,12,0.9766,0.9649,0.936,0.9971,False
9,909,901,99.18,Perfect,901,8,12,0.9931,0.9934,0.9987,0.9974,False
10,910,902,99.587,Perfect,902,8,12,0.9979,0.9978,0.9995,0.9977,False
11,911,903,99.703,Perfect,903,8,12,0.9993,0.9991,0.9998,0.9976,False
12,912,904,99.734,Perfect,904,8,12,0.9997,0.9997,0.9999,0.9976,False
13,913,905,99.742,Perfect,905,8,12,0.9999,0.9997,0.9999,0.9976,False
14,914,906,99.816,Perfect,906,8,12,0.9999,0.9999,1.0,0.9982,False
15,915,907,99.8,Perfect,907,8,12,1.0,0.9999,0.9999,0.9981,False
16,916,908,99.814,Perfect,908,8,12,1.0,0.9997,0.9999,0.9983,False
17,917,909,99.8,Perfect,909,8,12,1.0,1.0,1.0,0.998,False
18,918,910,99.789,Perfect,910,8,12,1.0,1.0,1.0,0.9979,False
19,919,911,99.776,Perfect,911,8,12,1.0,1.0,1.0,0.9978,False
20,920,912,99.784,Perfect,912,8,12,1.0,1.0,1.0,0.9978,False
21,921,913,99.78,Perfect,913,8,12,1.0,1.0,1.0,0.9978,False
22,922,914,99.814,Perfect,914,8,12,1.0,1.0,1.0,0.9981,False
23,923,915,99.816,Perfect,915,8,12,1.0,1.0,1.0,0.9982,False
24,924,916,99.8,Perfect,916,8,12,1.0,1.0,1.0,0.998,False
25,925,917,99.763,Perfect,917,8,12,1.0,1.0,1.0,0.9976,False
26,926,918,99.473,Perfect,918,8,12,1.0,1.0,1.0,0.9947,False
27,927,919,99.484,Perfect,919,8,12,1.0,1.0,1.0,0.9948,False
28,928,920,99.482,Perfect,920,8,12,1.0,1.0,1.0,0.9948,False
29,929,921,99.471,Perfect,921,8,12,1.0,1.0,1.0,0.9947,False
