step,ref_frame,user_frame,score,feedback,matched_ref_frame,lag_frames,common_keypoints,distance_score,angle_score
0,900,892,91.116,Perfect,900,0,17,0.9203,0.8427
1,901,893,90.451,Perfect,900,1,17,0.9128,0.8365
2,902,894,89.581,Perfect,900,2,17,0.9028,0.829
3,903,895,88.864,Perfect,900,3,17,0.8991,0.8064
4,904,896,89.019,Perfect,900,4,17,0.8996,0.8124
5,905,897,89.672,Perfect,900,5,17,0.9055,0.824
6,906,898,91.351,Perfect,900,6,17,0.9314,0.8144
7,907,899,93.272,Perfect,900,7,17,0.9546,0.8272
8,908,900,100.0,Perfect,900,8,17,1.0,1.0
9,909,901,100.0,Perfect,901,8,17,1.0,1.0
10,910,902,100.0,Perfect,902,8,17,1.0,1.0
11,911,903,100.0,Perfect,903,8,17,1.0,1.0
12,912,904,100.0,Perfect,904,8,17,1.0,1.0
13,913,905,100.0,Perfect,905,8,17,1.0,1.0
14,914,906,100.0,Perfect,906,8,17,1.0,1.0
15,915,907,100.0,Perfect,907,8,17,1.0,1.0
16,916,908,100.0,Perfect,908,8,17,1.0,1.0
17,917,909,100.0,Perfect,909,8,17,1.0,1.0
18,918,910,100.0,Perfect,910,8,17,1.0,1.0
19,919,911,100.0,Perfect,911,8,17,1.0,1.0
20,920,912,100.0,Perfect,912,8,17,1.0,1.0
21,921,913,100.0,Perfect,913,8,17,1.0,1.0
22,922,914,100.0,Perfect,914,8,17,1.0,1.0
23,923,915,100.0,Perfect,915,8,17,1.0,1.0
24,924,916,100.0,Perfect,916,8,17,1.0,1.0
25,925,917,100.0,Perfect,917,8,17,1.0,1.0
26,926,918,100.0,Perfect,918,8,17,1.0,1.0
27,927,919,100.0,Perfect,919,8,17,1.0,1.0
28,928,920,100.0,Perfect,920,8,17,1.0,1.0
29,929,921,100.0,Perfect,921,8,17,1.0,1.0
