step,ref_frame,user_frame,score,feedback,matched_ref_frame,lag_frames,common_keypoints,distance_score,angle_score
0,900,892,91.116,Perfect,900,0,17,0.9203,0.8427
1,901,893,90.451,Perfect,900,1,17,0.9128,0.8365
2,902,894,89.581,Perfect,900,2,17,0.9028,0.829
3,903,895,88.864,Perfect,900,3,17,0.8991,0.8064
4,904,896,89.019,Perfect,900,4,17,0.8996,0.8124
5,905,897,89.672,Perfect,900,5,17,0.9055,0.824
6,906,898,91.351,Perfect,900,6,17,0.9314,0.8144
7,907,899,93.272,Perfect,900,7,17,0.9546,0.8272
8,908,900,100.0,Perfect,900,8,17,1.0,1.0
9,909,901,100.0,Perfect,901,8,17,1.0,1.0
10,910,902,100.0,Perfect,902,8,17,1.0,1.0
11,911,903,100.0,Perfect,903,8,17,1.0,1.0
12,912,904,100.0,Perfect,904,8,17,1.0,1.0
13,913,905,100.0,Perfect,905,8,17,1.0,1.0
14,914,906,100.0,Perfect,906,8,17,1.0,1.0
15,915,907,100.0,Perfect,907,8,17,1.0,1.0
16,916,908,100.0,Perfect,908,8,17,1.0,1.0
17,917,909,100.0,Perfect,909,8,17,1.0,1.0
18,918,910,100.0,Perfect,910,8,17,1.0,1.0
19,919,911,100.0,Perfect,911,8,17,1.0,1.0
20,920,912,100.0,Perfect,912,8,17,1.0,1.0
21,921,913,100.0,Perfect,913,8,17,1.0,1.0
22,922,914,100.0,Perfect,914,8,17,1.0,1.0
23,923,915,100.0,Perfect,915,8,17,1.0,1.0
24,924,916,100.0,Perfect,916,8,17,1.0,1.0
25,925,917,100.0,Perfect,917,8,17,1.0,1.0
26,926,918,100.0,Perfect,918,8,17,1.0,1.0
27,927,919,100.0,Perfect,919,8,17,1.0,1.0
28,928,920,100.0,Perfect,920,8,17,1.0,1.0
29,929,921,100.0,Perfect,921,8,17,1.0,1.0
30,930,922,100.0,Perfect,922,8,17,1.0,1.0
31,931,923,100.0,Perfect,923,8,17,1.0,1.0
32,932,924,100.0,Perfect,924,8,17,1.0,1.0
33,933,925,100.0,Perfect,925,8,17,1.0,1.0
34,934,926,100.0,Perfect,926,8,17,1.0,1.0
35,935,927,100.0,Perfect,927,8,17,1.0,1.0
36,936,928,100.0,Perfect,928,8,17,1.0,1.0
37,937,929,100.0,Perfect,929,8,17,1.0,1.0
38,938,930,100.0,Perfect,930,8,17,1.0,1.0
39,939,931,100.0,Perfect,931,8,17,1.0,1.0
40,940,932,100.0,Perfect,932,8,17,1.0,1.0
41,941,933,100.0,Perfect,933,8,17,1.0,1.0
42,942,934,100.0,Perfect,934,8,17,1.0,1.0
43,943,935,100.0,Perfect,935,8,17,1.0,1.0
44,944,936,100.0,Perfect,936,8,17,1.0,1.0
45,945,937,100.0,Perfect,937,8,17,1.0,1.0
46,946,938,100.0,Perfect,938,8,17,1.0,1.0
47,947,939,100.0,Perfect,939,8,17,1.0,1.0
48,948,940,100.0,Perfect,940,8,17,1.0,1.0
49,949,941,100.0,Perfect,941,8,17,1.0,1.0
50,950,942,100.0,Perfect,942,8,17,1.0,1.0
51,951,943,100.0,Perfect,943,8,17,1.0,1.0
52,952,944,100.0,Perfect,944,8,17,1.0,1.0
53,953,945,100.0,Perfect,945,8,17,1.0,1.0
54,954,946,100.0,Perfect,946,8,17,1.0,1.0
55,955,947,100.0,Perfect,947,8,17,1.0,1.0
56,956,948,100.0,Perfect,948,8,17,1.0,1.0
57,957,949,100.0,Perfect,949,8,17,1.0,1.0
58,958,950,100.0,Perfect,950,8,17,1.0,1.0
59,959,951,100.0,Perfect,951,8,17,1.0,1.0
60,960,952,100.0,Perfect,952,8,17,1.0,1.0
61,961,953,100.0,Perfect,953,8,17,1.0,1.0
62,962,954,100.0,Perfect,954,8,17,1.0,1.0
63,963,955,100.0,Perfect,955,8,17,1.0,1.0
64,964,956,100.0,Perfect,956,8,17,1.0,1.0
65,965,957,100.0,Perfect,957,8,17,1.0,1.0
66,966,958,100.0,Perfect,958,8,17,1.0,1.0
67,967,959,100.0,Perfect,959,8,17,1.0,1.0
68,968,960,100.0,Perfect,960,8,17,1.0,1.0
69,969,961,100.0,Perfect,961,8,17,1.0,1.0
70,970,962,100.0,Perfect,962,8,17,1.0,1.0
71,971,963,100.0,Perfect,963,8,17,1.0,1.0
72,972,964,100.0,Perfect,964,8,17,1.0,1.0
73,973,965,100.0,Perfect,965,8,17,1.0,1.0
74,974,966,100.0,Perfect,966,8,17,1.0,1.0
75,975,967,100.0,Perfect,967,8,17,1.0,1.0
76,976,968,100.0,Perfect,968,8,17,1.0,1.0
77,977,969,100.0,Perfect,969,8,17,1.0,1.0
78,978,970,100.0,Perfect,970,8,17,1.0,1.0
79,979,971,100.0,Perfect,971,8,17,1.0,1.0
80,980,972,100.0,Perfect,972,8,17,1.0,1.0
81,981,973,100.0,Perfect,973,8,17,1.0,1.0
82,982,974,100.0,Perfect,974,8,17,1.0,1.0
83,983,975,100.0,Perfect,975,8,17,1.0,1.0
84,984,976,100.0,Perfect,976,8,17,1.0,1.0
85,985,977,100.0,Perfect,977,8,17,1.0,1.0
86,986,978,100.0,Perfect,978,8,17,1.0,1.0
87,987,979,100.0,Perfect,979,8,17,1.0,1.0
88,988,980,100.0,Perfect,980,8,17,1.0,1.0
89,989,981,100.0,Perfect,981,8,17,1.0,1.0
