step,ref_frame,user_frame,score,feedback,matched_ref_frame,lag_frames,common_keypoints,distance_score,angle_score
0,900,892,91.116,Perfect,900,0,17,0.9203,0.8427
1,901,893,90.451,Perfect,900,1,17,0.9128,0.8365
2,902,894,89.581,Perfect,900,2,17,0.9028,0.829
3,903,895,88.864,Perfect,900,3,17,0.8991,0.8064
4,904,896,87.327,Super,901,3,17,0.8841,0.7835
5,905,897,87.393,Super,905,0,17,0.8801,0.8012
6,906,898,88.499,Perfect,906,0,17,0.905,0.7669
7,907,899,90.007,Perfect,905,2,17,0.9258,0.7675
8,908,900,95.519,Perfect,905,3,17,0.9544,0.9403
9,909,901,85.441,Super,906,3,17,0.9062,0.6096
10,910,902,83.884,Super,910,0,17,0.867,0.6729
11,911,903,84.642,Super,911,0,17,0.8719,0.6931
12,912,904,87.302,Super,912,0,17,0.8882,0.7674
13,913,905,88.626,Perfect,912,1,17,0.9015,0.7859
14,914,906,89.74,Perfect,911,3,17,0.9038,0.8335
15,915,907,87.771,Super,915,0,17,0.8755,0.8369
16,916,908,87.699,Super,916,0,17,0.8639,0.8749
17,917,909,87.574,Super,917,0,17,0.8703,0.8455
18,918,910,88.227,Perfect,918,0,17,0.8904,0.8058
19,919,911,92.104,Perfect,919,0,17,0.8971,0.9756
20,920,912,91.178,Perfect,919,1,17,0.905,0.9007
21,921,913,91.353,Perfect,919,2,17,0.9185,0.8611
22,922,914,93.264,Perfect,922,0,17,0.9305,0.9136
23,923,915,93.546,Perfect,923,0,17,0.9246,0.9489
24,924,916,94.823,Perfect,924,0,17,0.9381,0.9639
25,925,917,94.853,Perfect,925,0,17,0.9477,0.931
26,926,918,93.811,Perfect,925,1,17,0.9435,0.8939
27,927,919,94.699,Perfect,927,0,17,0.9433,0.9391
28,928,920,93.97,Perfect,928,0,17,0.9472,0.8885
29,929,921,93.068,Perfect,928,1,17,0.9305,0.9035
30,930,922,94.309,Perfect,928,2,17,0.9401,0.931
31,931,923,92.794,Perfect,931,0,17,0.9344,0.8759
32,932,924,91.284,Perfect,932,0,17,0.9118,0.8817
33,933,925,91.662,Perfect,933,0,17,0.9056,0.9228
34,934,926,91.17,Perfect,931,3,17,0.9205,0.8445
35,935,927,89.424,Perfect,932,3,17,0.8887,0.8719
36,936,928,89.487,Perfect,935,1,17,0.9052,0.8155
37,937,929,88.945,Perfect,937,0,17,0.8884,0.849
38,938,930,90.74,Perfect,937,1,17,0.8931,0.9219
39,939,931,91.359,Perfect,936,3,17,0.9012,0.9236
40,940,932,92.085,Perfect,940,0,17,0.9097,0.9293
41,941,933,93.108,Perfect,940,1,17,0.9213,0.9386
42,942,934,93.251,Perfect,940,2,17,0.923,0.9396
43,943,935,91.852,Perfect,943,0,17,0.9299,0.8451
44,944,936,92.926,Perfect,944,0,17,0.945,0.8443
45,945,937,93.33,Perfect,945,0,17,0.943,0.8718
46,946,938,92.836,Perfect,944,2,17,0.9254,0.9104
47,947,939,92.011,Perfect,947,0,17,0.9114,0.9194
48,948,940,90.918,Perfect,948,0,17,0.9068,0.8813
49,949,941,89.037,Perfect,948,1,17,0.89,0.8477
50,950,942,89.503,Perfect,948,2,17,0.8796,0.9087
51,951,943,88.879,Perfect,948,3,17,0.8773,0.8858
52,952,944,89.332,Perfect,952,0,17,0.9068,0.8022
53,953,945,90.368,Perfect,953,0,17,0.9189,0.8104
54,954,946,89.004,Perfect,953,1,17,0.9016,0.8044
55,955,947,91.909,Perfect,952,3,17,0.9227,0.8736
56,956,948,93.191,Perfect,956,0,17,0.9152,0.9648
57,957,949,93.259,Perfect,957,0,17,0.9199,0.9511
58,958,950,93.487,Perfect,958,0,17,0.9254,0.9429
59,959,951,94.59,Perfect,958,1,17,0.9361,0.9594
