stage,c,gamma,gamma_multiplier,train_samples,validation_samples,accuracy,macro_f1,weighted_f1,training_seconds,prediction_seconds,support_vectors
coarse,1.0,0.003676470588235294,0.5,10000,5742,0.39237199582027166,0.3378280656539227,0.39175579884860334,12.064958699978888,8.894916200020816,9080
coarse,1.0,0.007352941176470588,1.0,10000,5742,0.40926506443747823,0.35806001103486124,0.4082453760848651,12.27182940003695,8.854953299975023,9096
coarse,3.0,0.003676470588235294,0.5,10000,5742,0.40769766631835597,0.35722372788345275,0.40794825337229407,11.946103499969468,10.780704500037245,8985
coarse,1.0,0.014705882352941176,2.0,10000,5742,0.41919191919191917,0.3816401972330525,0.41823152713712597,12.343861899978947,11.137950400006957,9183
coarse,3.0,0.007352941176470588,1.0,10000,5742,0.41954022988505746,0.3768776285678375,0.4199726359211198,13.187382200034335,9.902407399960794,9013
coarse,3.0,0.014705882352941176,2.0,10000,5742,0.4258098223615465,0.402494596513599,0.42544312056545375,14.339601400017273,17.44511649996275,9183
coarse,10.0,0.003676470588235294,0.5,10000,5742,0.42371995820271685,0.3766312663288018,0.4245343136259875,35.1624006999773,13.658923499984667,8903
coarse,10.0,0.007352941176470588,1.0,10000,5742,0.4270289097875305,0.39724612600259585,0.4277268667067267,29.766942500020377,13.645368499972392,8973
coarse,10.0,0.014705882352941176,2.0,10000,5742,0.4219784047370254,0.40454650207651427,0.42216647674562574,21.010616799991112,12.287148600036744,9236
coarse,30.0,0.003676470588235294,0.5,10000,5742,0.4285963079066527,0.3901053729600447,0.42934878295343526,19.24580569996033,12.924532599980012,8816
coarse,30.0,0.007352941176470588,1.0,10000,5742,0.4235458028561477,0.39648958239442506,0.4245557616970742,20.170778600033373,10.887951100012287,8980
coarse,30.0,0.014705882352941176,2.0,10000,5742,0.416405433646813,0.3985915505179444,0.41591588690854236,21.54641059995629,10.357386599993333,9274
full_validation,3.0,0.014705882352941176,2.0,22967,5742,0.45297805642633227,0.4336697662702985,0.45288207553481885,144.43351290002465,21.911905399989337,20597
full_validation,10.0,0.014705882352941176,2.0,22967,5742,0.4557645419714385,0.44598703643065735,0.45645858980417653,161.11856540001463,19.90074359998107,20674
full_validation,30.0,0.014705882352941176,2.0,22967,5742,0.4505398815743643,0.4412567841506327,0.45041644239700984,109.49845950002782,20.090394200000446,20747
